statefips,countyfips,metrofips,geo_area,year,initiative,n_industries,min_wage,q25_wage,median_wage,q75_wage,max_wage,weighted_avg_wage
0,000,00000,United States,2023,Advanced & Traded Industries,142,9078.830191037325,79465.50409058793,95501.00082550813,121868.4368427117,323112.1528544088,120385.8760140403
0,000,00000,United States,2023,AgriNovus,100,36504.8938464,70672.35817225,83508.82317115,95721.6548262,174875.889762,NA
0,000,00000,United States,2023,BioCrossroads,26,86567.1467312,120777.29841650001,139646.040995,155904.04773475,241693.043087,160705.18663871224
0,000,00000,United States,2023,Conexus,122,55609.7874393,77923.59304197632,89871.32246691696,109170.1028935209,312619.3133045281,97022.24286351287
0,000,00000,United States,2023,TechPoint,42,86935.5305581,119716.50754699999,152233.0046965,177837.606744,364602.401676,174943.21045221976
00,000,14020,Bloomington MSA,2023,Advanced & Traded Industries,142,0,0,51638.067022931966,80813.14319091082,319761.9943333652,89658.4730957301
00,000,14020,Bloomington MSA,2023,AgriNovus,100,0,0,0,33397.905369375,167147.566338,NA
00,000,14020,Bloomington MSA,2023,BioCrossroads,26,0,0,32354.5531184,99830.09364959999,319761.995482,95161.12198560676
00,000,14020,Bloomington MSA,2023,Conexus,122,0,0,36556.039073,69863.81955342258,319761.995482,89202.69627497817
00,000,14020,Bloomington MSA,2023,TechPoint,42,0,0,0,96377.063464075,175730.779695,102845.81643422105
00,000,16980,Chicago-Naperville-Elgin MSA,2023,Advanced & Traded Industries,142,7285.834466571882,86169.03831378103,100551.84372148517,123093.08527523771,389279.69818041654,129879.31212204554
00,000,16980,Chicago-Naperville-Elgin MSA,2023,AgriNovus,100,0,62016.163124325,85199.6817019,108745.02783724999,272569.808156,NA
00,000,16980,Chicago-Naperville-Elgin MSA,2023,BioCrossroads,26,0,89691.285581775,134693.5897715,182408.3179945,282010.268845,191122.48378410353
00,000,16980,Chicago-Naperville-Elgin MSA,2023,Conexus,122,34796.6205888,83664.01778413614,97120.46591751388,114744.84221260544,282010.268845,104807.94833069011
00,000,16980,Chicago-Naperville-Elgin MSA,2023,TechPoint,42,66181.1172798,106176.68222,138151.4306595,161195.99736074999,478488.220766,159476.27845330242
00,000,17140,Cincinnati MSA,2023,Advanced & Traded Industries,142,0,76055.90190341472,92373.3228871733,111883.39329051544,250284.34408004885,111207.10213968618
00,000,17140,Cincinnati MSA,2023,AgriNovus,100,0,57750.755257900004,80021.9726801,94920.79120725,221955.14794,NA
00,000,17140,Cincinnati MSA,2023,BioCrossroads,26,0,78133.15166445001,107772.037263,141262.97400425002,221955.14794,131317.6231140702
00,000,17140,Cincinnati MSA,2023,Conexus,122,0,74366.86992703323,88073.18436024341,111058.93383607469,250284.34408493064,97710.4610314606
00,000,17140,Cincinnati MSA,2023,TechPoint,42,0,78643.381692225,102292.298272,126993.5916585,166588.058042,132515.4566281611
00,000,18020,Columbus MSA,2023,Advanced & Traded Industries,142,0,0,56455.820158986644,87478.7601081118,200277.0381475217,110791.1364861546
00,000,18020,Columbus MSA,2023,AgriNovus,100,0,0,0,40783.194390824996,178129.40469,NA
00,000,18020,Columbus MSA,2023,BioCrossroads,26,0,0,0,84931.20700722499,252296.355305,77059.95377763882
00,000,18020,Columbus MSA,2023,Conexus,122,0,0,37549.26727030773,78748.50860923299,166099.9959880805,112406.0168430694
00,000,18020,Columbus MSA,2023,TechPoint,42,0,0,0,85469.009570175,227590.844074,107298.17471506582
00,000,21140,Elkhart-Goshen MSA,2023,Advanced & Traded Industries,142,0,49585.936852898216,70023.89352623466,84060.1784292957,401397.9329622335,84313.89374563021
00,000,21140,Elkhart-Goshen MSA,2023,AgriNovus,100,0,0,0,49414.46374845,116220.135232,NA
00,000,21140,Elkhart-Goshen MSA,2023,BioCrossroads,26,0,0,20866.0064946,91879.006699475,550722.502816,166166.3910448206
00,000,21140,Elkhart-Goshen MSA,2023,Conexus,122,0,42692.66040475,66736.7086293873,80454.78314139023,172838.069605,76605.06832025468
00,000,21140,Elkhart-Goshen MSA,2023,TechPoint,42,0,0,50895.3366449,84529.78707065,166508.364323,78726.64784588348
00,000,21780,Evansville MSA,2023,Advanced & Traded Industries,142,0,49578.10213312456,75528.82109527115,97109.03811950475,363251.9080052645,92691.77597354395
00,000,21780,Evansville MSA,2023,AgriNovus,100,0,0,0,77971.24404067501,205062.241093,NA
00,000,21780,Evansville MSA,2023,BioCrossroads,26,0,0,32238.458701,100352.4822986,250768.77146,135853.05264025007
00,000,21780,Evansville MSA,2023,Conexus,122,0,0,70915.90054949465,95444.64879627826,363252.039805,86146.07588095106
00,000,21780,Evansville MSA,2023,TechPoint,42,0,0,46152.08602195,95622.36936299999,363252.039805,111538.77473534687
00,000,23060,Fort Wayne MSA,2023,Advanced & Traded Industries,142,0,52992.9471614666,73770.85705336946,92321.62002585357,218611.9855495991,86918.66054245686
00,000,23060,Fort Wayne MSA,2023,AgriNovus,100,0,0,0,55653.762941,118241.938224,NA
00,000,23060,Fort Wayne MSA,2023,BioCrossroads,26,0,0,33070.04618825,95621.155640325,158875.009301,97671.17345763337
00,000,23060,Fort Wayne MSA,2023,Conexus,122,0,49245.88549815075,69987.53313354214,88352.780834875,218611.985587,81881.54576361673
00,000,23060,Fort Wayne MSA,2023,TechPoint,42,0,11063.489980625,76925.73222305,115065.2188235,185841.036947,103900.3671168496
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,Advanced & Traded Industries,142,0,72882.74423446399,87453.98378623722,106080.62199820642,294049.68895794044,104171.23400686642
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,AgriNovus,100,0,38149.004409775,67422.4267626,90603.382597875,348727.434629,NA
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,BioCrossroads,26,0,86398.8789109,108113.8422745,135023.765615,255891.648311,186014.09364642052
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,Conexus,122,0,70366.56526195136,85685.66142894479,105133.28803639578,404682.374066,96918.1320347707
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,TechPoint,42,0,83234.51397982499,103626.10970649999,131986.80493249997,202923.232783,132415.4440218322
00,000,29020,Kokomo MSA,2023,Advanced & Traded Industries,142,0,0,43409.61852693058,81791.93215730927,396986.5463276898,117809.14781028677
00,000,29020,Kokomo MSA,2023,AgriNovus,100,0,0,0,0,100219.252275,NA
00,000,29020,Kokomo MSA,2023,BioCrossroads,26,0,0,0,43301.885112899996,396986.644284,68362.86675045267
00,000,29020,Kokomo MSA,2023,Conexus,122,0,0,0,72375.82071497987,396986.644284,123292.97794040681
00,000,29020,Kokomo MSA,2023,TechPoint,42,0,0,0,69594.0387092,191959.688073,92410.69337598575
00,000,29200,Lafayette-West Lafayette MSA,2023,Advanced & Traded Industries,142,0,0,66690.91154754788,91711.46784450456,242081.2554435704,91198.64614752209
00,000,29200,Lafayette-West Lafayette MSA,2023,AgriNovus,100,0,0,0,59739.44032645,191806.646244,NA
00,000,29200,Lafayette-West Lafayette MSA,2023,BioCrossroads,26,0,0,99532.64023885,119678.50504325,191806.646244,117598.54183569897
00,000,29200,Lafayette-West Lafayette MSA,2023,Conexus,122,0,0,61702.2431805,86921.98886541015,187259.29346877348,90064.9403959562
00,000,29200,Lafayette-West Lafayette MSA,2023,TechPoint,42,0,0,82840.365921,118541.17995275001,314416.601448,97543.16902992078
00,000,31140,Louisville/Jefferson County MSA,2023,Advanced & Traded Industries,142,0,73194.90842691428,93198.85363634104,113398.80016898707,255094.16987743444,98118.12914780145
00,000,31140,Louisville/Jefferson County MSA,2023,AgriNovus,100,0,29284.202204175002,70390.83882954999,89136.7226586,320017.963548,NA
00,000,31140,Louisville/Jefferson County MSA,2023,BioCrossroads,26,0,85774.05777995,118200.75913600001,160617.54496725,387348.693813,134656.6139319305
00,000,31140,Louisville/Jefferson County MSA,2023,Conexus,122,0,71462.0927895314,88493.9616691694,111456.87573189335,283973.361186,90383.0493806024
00,000,31140,Louisville/Jefferson County MSA,2023,TechPoint,42,0,85463.52783937499,113555.2803535,144237.535713,427314.673421,114749.23240908684
00,000,33140,Michigan City-La Porte MSA,2023,Advanced & Traded Industries,142,0,0,61878.70441556931,78525.14526615289,161228.91497399317,76790.5255764383
00,000,33140,Michigan City-La Porte MSA,2023,AgriNovus,100,0,0,0,37079.6708584,230213.732199,NA
00,000,33140,Michigan City-La Porte MSA,2023,BioCrossroads,26,0,0,0,62384.908668275,116477.681687,82129.33853971923
00,000,33140,Michigan City-La Porte MSA,2023,Conexus,122,0,0,56528.57894085,76941.52428251758,161228.932458,72992.91963952675
00,000,33140,Michigan City-La Porte MSA,2023,TechPoint,42,0,0,0,62249.351065725,170629.255018,83414.85077926451
00,000,34620,Muncie MSA,2023,Advanced & Traded Industries,142,0,0,53724.574208010934,81706.6942620162,178724.96701177774,78373.39071909069
00,000,34620,Muncie MSA,2023,AgriNovus,100,0,0,0,0,112206.704064,NA
00,000,34620,Muncie MSA,2023,BioCrossroads,26,0,0,0,34074.6078474,127959.046475,75066.15137871512
00,000,34620,Muncie MSA,2023,Conexus,122,0,0,37179.2156588,75959.18736466892,155972.65251776922,74949.1576225487
00,000,34620,Muncie MSA,2023,TechPoint,42,0,0,0,64581.096755624996,111121.555587,85568.00034487084
00,000,43780,South Bend-Mishawaka MSA,2023,Advanced & Traded Industries,142,0,45316.70138008449,73200.66902187307,99482.46344172265,222281.4257675232,86453.13174911546
00,000,43780,South Bend-Mishawaka MSA,2023,AgriNovus,100,0,0,0,51679.3323067,157491.849973,NA
00,000,43780,South Bend-Mishawaka MSA,2023,BioCrossroads,26,0,0,76110.39225925,107243.81926825,201410.012148,111099.82503052193
00,000,43780,South Bend-Mishawaka MSA,2023,Conexus,122,0,28599.71490935474,69503.09115214832,88949.18479819372,216688.76547729713,79889.33215219357
00,000,43780,South Bend-Mishawaka MSA,2023,TechPoint,42,0,0,74485.65404135,113725.03366625,238936.014512,92603.12106319597
00,000,45460,Terre Haute MSA,2023,Advanced & Traded Industries,142,0,0,64927.71213832601,83452.6958200518,257957.703426229,78322.56522577947
00,000,45460,Terre Haute MSA,2023,AgriNovus,100,0,0,0,43363.00579465,125928.461015,NA
00,000,45460,Terre Haute MSA,2023,BioCrossroads,26,0,0,0,72689.83967885,125928.461015,104821.99331896787
00,000,45460,Terre Haute MSA,2023,Conexus,122,0,0,60338.748740424446,80293.6574400871,378021.690058,78228.81211140855
00,000,45460,Terre Haute MSA,2023,TechPoint,42,0,0,0,73516.9844753,248119.922845,82083.82906360213
18,000,00000,Indiana,2023,Advanced & Traded Industries,142,0,69112.66035491282,85526.16112970583,101592.23876627778,217011.73541253124,93906.32343799832
18,000,00000,Indiana,2023,AgriNovus,100,0,57933.96344392501,72306.3275654,85306.370658875,348727.434629,NA
18,000,00000,Indiana,2023,BioCrossroads,26,52360.5452791,89194.62858885001,115104.5685205,141249.82931575,215400.053977,148688.5070772028
18,000,00000,Indiana,2023,Conexus,122,0,67755.92172758882,83037.8478834528,96381.57070972768,255120.94153555107,88765.57203877196
18,000,00000,Indiana,2023,TechPoint,42,0,79196.068269675,99321.03321545,125584.0287465,164494.552137,120371.82939065839
